,isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
94,KR7095340006,A095340,ISC Co. Ltd.,Asia / Pacific,Asia / Pacific,KR,KRW,KOSDAQ,Information Technology,Semiconductors and Semiconductor Equipment,Small Cap,Growth,1885.48,1662.0,134600.0,291875.0,268872.5978615655,257866.41184921545,280064.50155010854,0.9975675918392694,1.8552007656428169,1.0,1.1684621099554235,0.2115,4.5008,4.6979,0.0866,8.0,1.0303050376353007,0.38968916295218564,0.47256940436080386,0.9957185545188715,1.7222249287905593,0.99875
95,KYG4672N1198,HCM,HUTCHMED (China) Limited,Europe,Asia / Pacific,HK,GBP,AIM,Health Care,Pharmaceuticals,Small Cap,Core,1901.22,656.39,1.66,3.4236,3.307285982466773,3.1757858396536114,3.443440817754525,0.9923409532932483,1.8445475354610574,1.0,1.0624096385542168,-0.2019,-0.7138,-0.1147,-0.072,7.0,1.0482354377095018,0.49816003331502673,0.35553122943468607,0.9911054281794649,1.919153680026276,0.9970625
108,US92686J1060,VKTX,Viking Therapeutics Inc.,United States and Canada,United States and Canada,US,USD,NasdaqCM,Health Care,Biotechnology,Small Cap,Core,4039.32,3436.35,34.79,92.579,68.46542021432455,66.32924182181237,70.76615125685132,0.9679626391010249,1.7943966859045666,1.0,1.6610807703363035,-0.0111,5.0295,25.7615,0.3381,19.0,0.9876928958111635,0.27695005182021953,0.5695305296634825,0.9705445249166903,1.4644216187854258,0.9999375
121,US00246W1036,AXTI,AXT Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Semiconductors and Semiconductor Equipment,Small Cap,Core,3013.99,3050.04,47.23,96.5,92.07305302784503,88.25630146214422,96.05418461924721,0.9494612116842043,1.7552096457205106,1.0,1.0431928858776203,1.8887,3.8096,12.4176,1.5042,4.0,1.0156569760859788,0.5441074164751079,0.2650479437281132,0.946335426930061,2.0052132591446363,0.992125
149,US0937121079,BE,Bloom Energy Corporation,United States and Canada,United States and Canada,US,USD,NYSE,Industrials,Electrical Equipment,Large Cap,Growth,52590.83,53078.75,184.89,286.2,351.70075988795685,339.8347827705038,363.536013236722,0.9022162360752687,1.6550512817449305,1.0,0.5479474282005516,1.1279,7.6035,,1.1803,26.0,0.9126242646800664,0.20064030977170405,0.6025674588806825,0.9021711398728391,1.2538620626105303,1.0
158,TW0006510001,6510,Chunghwa Precision Test Tech. Co. Ltd.,Asia / Pacific,Asia / Pacific,TW,TWD,TPEX,Information Technology,Electronic Equipment Instruments and Components,Small Cap,Growth,2624.01,2459.99,2590.0,4500.7143,4903.842232615687,4676.970082418046,5136.2537990592145,0.8933753793883015,1.6353381670712634,1.0,0.7377275289575289,0.1396,3.3628,2.9825,0.6825,7.0,0.9199984993757773,0.3484773068230626,0.4133719058520366,0.8894815749305031,1.5291147660951485,0.9990625
170,KR7066970005,A066970,L&F Co. Ltd.,Asia / Pacific,Asia / Pacific,KR,KRW,KOSE,Industrials,Electrical Equipment,Small Cap,Core,2211.33,3198.64,81900.0,193040.0,153442.75001276165,149529.24559238614,157500.1573074245,0.8735378511936697,1.5930317474994613,1.0,1.357020757020757,-0.1397,-0.2635,5.4466,-0.3007,25.0,0.8925293833567884,0.25958419616902767,0.5008672061539091,0.8774568911054276,1.3322180976690152,0.9999375
171,TW0002337003,2337,Macronix International Co. Ltd.,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Information Technology,Semiconductors and Semiconductor Equipment,Mid Cap,Value,7391.29,7606.16,124.0,193.5,232.31605203569373,224.09280145270867,240.86036800901775,0.8735165486749474,1.5926310848585736,1.0,0.5604838709677419,2.1432,2.4059,19.4827,0.6055,8.0,0.9087625613784835,0.38934994545569457,0.3535019121305287,0.8744139135684733,1.5828743699420973,0.9973125
176,KYG8924B1041,6110,Topsports International Holdings Limited,Asia / Pacific,Asia / Pacific,HK,HKD,SEHK,Consumer Discretionary,Specialty Retail,Small Cap,Value,1027.99,1233.91,1.3,1.9964,2.4328703424925333,2.3739295747773252,2.4941740172849083,0.8714387249942579,1.5884771050768418,1.0,0.5356923076923077,-0.5533,-0.8262,,-0.3668,16.0,0.8849396832131969,0.3094265997720226,0.4329121017235966,0.858860842018326,1.4217558890828503,0.9998125
181,CA55027C1068,LMN,Lumine Group Inc.,United States and Canada,United States and Canada,CA,CAD,TSXV,Information Technology,Software,Small Cap,Core,3810.84,3951.56,20.94,40.5,39.06472868209784,35.936411155808614,42.25950865565721,0.8655553334335154,1.5720430505581622,1.0,0.9340974212034384,-0.2284,,,0.0069,4.0,0.9256272254775525,0.5027146495569976,0.23832214751693773,0.8644251871883182,1.8151182102075507,0.990625
