index,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,run_id,exported_at,source_sha,source_dirty
sigma_trading_region,0.15349202913420285,0.008009331525600202,0.1408905168285067,0.16645579832697305,7933.105028769509,6387.161775427173,1.000567444168874,8.998809223052157e-05,6.514021567191143e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_sector,0.05638539928678394,0.0051469864078441474,0.04829356590855462,0.06478183215594809,11589.228593063837,6478.571043196646,1.0000600477681405,4.782536183332719e-05,3.3677437204698514e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_style_class,0.011026009994926724,0.0052275624065668365,0.0033345346650638648,0.020077749957951467,9574.121253529302,7056.2836018340895,1.000198963780004,5.332635537200105e-05,3.677445590745566e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_size_class,0.017154941307532687,0.005642094740638993,0.008100919334498736,0.02630640731356807,6912.849473767675,6320.919099669895,1.000613604339473,6.777100056941928e-05,4.558580390850266e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_total,0.575682612311964,0.014226600992347113,0.5529671058508857,0.5992427181478424,1489.1247924115748,2334.509593805203,1.0004422679538145,0.00036846556677044395,0.0002632156105477416,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
rho_inf_by_bucket[q1],0.002768925727631614,0.0018999342456137327,0.0005385777598889369,0.006298675364317736,12568.20675339164,5243.942172735972,1.0017415477935803,1.548847060134264e-05,1.6690049122950365e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
variance_weights[level],0.0037565485852215134,0.0018934783535488936,0.0015335016247643837,0.007270749420639329,12567.947549456081,5243.942172735972,1.001737013903584,1.5436115006730067e-05,1.6632706613896826e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
variance_weights[state],0.9948476926253051,0.0019137562129709453,0.9913320040457126,0.9971251724630105,13238.026384011835,5166.522904212256,1.0011948396702646,1.54667723422236e-05,1.65893623962159e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
variance_weights[observation],0.0013957587894733363,0.00027834582806189194,0.0010742447111556765,0.0019027746441909403,13268.343690447362,4723.66300080086,1.0000900366893892,2.18050929213332e-06,2.4258369511057707e-06,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_level,0.03427409703187375,0.00841240994337448,0.022488687660172802,0.049016678990463386,12089.957367271541,5267.669960366361,1.0023404770384832,6.970377841214523e-05,5.3795950185417885e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_state,0.5741975218732576,0.014206279514987836,0.5517022650124299,0.5977293947859172,1491.890117550467,2288.679150228154,1.0004365261161854,0.00036769493653101263,0.0002624970927243822,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_obs_base,0.02140888061497452,0.0021050542707274677,0.01872324695396751,0.0252362085412018,8933.410409878836,4448.591830401293,1.0002875588862516,2.0197059709772496e-05,1.8071071699261474e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
rho_inf_implied,0.0037617993020536643,0.00189614047424058,0.0015363861627658438,0.007285062640057747,12570.244525651658,5243.942172735972,1.0017396764657776,1.5457401256517285e-05,1.6656682741053703e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
alpha_time[t0],-0.1396150261495135,0.00779840076714688,-0.1521398095857385,-0.12729313700159778,13136.026694097127,7187.670387773651,0.999658649641861,6.806751027772975e-05,4.7910773427665805e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
alpha_time[t1],0.033322520548615044,0.00622526822837393,0.023338457291888704,0.043241051899002535,12545.708091733335,7243.117058166762,1.000198105703703,5.559913692072912e-05,3.8271856637858474e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
alpha_time[t2],0.031830187688679026,0.00211789399019819,0.028441452026776778,0.03516813877208433,17579.873847019644,5960.218114131958,1.0014024919306632,1.5964495768236663e-05,1.1403229651067459e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
alpha_time[t3],0.0,0.0,0.0,0.0,8000.0,8000.0,,0.0,,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_time[t0],1.255229858163053,0.016917880398429837,1.2283972074299363,1.2825487301540746,6861.15928754769,6396.8027429401245,1.0009912017723146,0.0002041341775374665,0.00014264068704904196,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_time[t1],1.1226697426609502,0.013501903043498952,1.1013248311636927,1.1445914971084752,7725.341555396046,6109.1895579946495,1.0004861116168138,0.00015441969338278997,0.00010868598532279382,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_time[t2],1.0286344121906865,0.005258901427579584,1.0202881646470903,1.0370120892136288,15368.257412890725,6503.86152452421,1.0005180446775352,4.244930491757038e-05,3.088707929397355e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_time[t3],1.0,0.0,1.0,1.0,8000.0,8000.0,,0.0,,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
"within_name_cov[t0, t0]",1.575888211501214,0.04248461442406317,1.5089596992238563,1.6449312452239602,6861.15928754769,6396.8027429401245,1.0009912017723146,0.0005124774807700825,0.00035835194405432806,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
