Name,Currency,Issuer,ISIN,Sector,Maturity,S&P Rating,Coupon,Coupon frequency,YTM (Ask),Ask,Minimum size,Country of issue,Amount issued,Increment size,Subordinated,EU Tax,W/Tax,Accrued days,Accrued interest
CANADA 0% 06.05.2026,CAD,Canada,CA1350Z7EL42,Sovereign,2026-06-05,NaN,0.000,NaN,2.273,99.987,1000,Canada,26000000000,1000,No,Yes,No,NaN,NaN
CANADA 0% 09.09.2026,CAD,Canada,CA1350Z7EH30,Sovereign,2026-09-09,NaN,0.000,NaN,2.269,99.211,1000,Canada,10800000000,1000,No,Yes,No,236.000,0.000
CANADA 2.75% 01.09.2027,CAD,Canada,CA135087N837,Sovereign,2027-01-09,AAA,2.750,Semi-Annual,2.770,99.834,1000,Canada,16000000000,1000,No,Yes,No,65.000,0.490
AUSTRALIA 1.25% 21.05.2032,AUD,Commonwealth of Australia,AU0000075681,Sovereign,2032-05-21,NaN,1.250,Semi-Annual,4.797,81.739,1000,Australia,43200000000,1000,No,Yes,No,166.000,0.573
AUSTRALIA 2.5% 21.05.2030,AUD,Commonwealth of Australia,AU0000013740,Sovereign,2030-05-21,NaN,2.500,Semi-Annual,4.656,92.041,1000,Australia,43000000000,1000,No,Yes,No,166.000,1.146
AUSTRALIA 2.75% 21.11.2028,AUD,Commonwealth of Australia,AU000XCLWAU3,Sovereign,2028-11-21,NaN,2.750,Semi-Annual,4.665,95.437,1000,Australia,45100000000,1000,No,Yes,No,166.000,1.261
AUSTRALIA 2.25% 21.05.2028,AUD,Commonwealth of Australia,AU000XCLWAR9,Sovereign,2028-05-21,NaN,2.250,Semi-Annual,4.674,95.253,1000,Australia,37900000000,1000,No,Yes,No,166.000,1.032
AUSTRALIA 0% 24.07.2026,AUD,Commonwealth of Australia,AU2CLT240764,Sovereign,2026-07-24,NaN,0.000,NaN,4.319,99.056,5000,Australia,6000000000,5000,No,Yes,Yes,109.000,0.000
AUSTRALIA 1% 21.11.2031,AUD,Commonwealth of Australia,AU0000101792,Sovereign,2031-11-21,NaN,1.000,Semi-Annual,4.718,81.907,1000,Australia,45500000000,1000,No,Yes,No,166.000,0.459
AUSTRALIA 2.75% 21.06.2035,AUD,Commonwealth of Australia,AU000XCLWAM0,Sovereign,2035-06-21,NaN,2.750,Semi-Annual,4.947,83.789,1000,Australia,30850000000,1000,No,Yes,No,136.000,1.027
AUSTRALIA 3.5% 21.12.2034,AUD,Commonwealth of Australia,AU0000274706,Sovereign,2034-12-21,NaN,3.500,Semi-Annual,4.920,89.936,1000,Australia,29200000000,1000,No,Yes,Yes,143.000,1.367
AUSTRALIA 0% 07.08.2026,AUD,Commonwealth of Australia,AU2CLT070864,Sovereign,2026-07-08,NaN,0.000,NaN,4.389,98.879,5000,Australia,2000000000,5000,No,Yes,Yes,67.000,0.000
AUSTRALIA 4.25% 21.03.2036,AUD,Commonwealth of Australia,AU0000381832,Sovereign,2036-03-21,NaN,4.250,Semi-Annual,5.014,94.393,1000,Australia,25300000000,1000,No,Yes,No,46.000,0.531
AUSTRALIA 1.75% 21.11.2032,AUD,Commonwealth of Australia,AU0000143901,Sovereign,2032-11-21,NaN,1.750,Semi-Annual,4.794,82.930,1000,Australia,32500000000,1000,No,Yes,No,166.000,0.802
AUSTRALIA 0% 21.08.2026,AUD,Commonwealth of Australia,AU2CLT210866,Sovereign,2026-08-21,NaN,0.000,NaN,4.419,98.702,5000,Australia,4000000000,5000,No,Yes,Yes,95.000,0.000
AUSTRALIA 0% 22.05.2026,AUD,Commonwealth of Australia,AU2CLT220568,Sovereign,2026-05-22,NaN,0.000,NaN,4.169,99.806,5000,Australia,8000000000,5000,No,Yes,Yes,137.000,0.000
AUSTRALIA 3.25% 21.04.2029,AUD,Commonwealth of Australia,AU3TB0000150,Sovereign,2029-04-21,NaN,3.250,Semi-Annual,4.656,96.174,1000,Australia,43499786000,1000,No,Yes,No,15.000,0.133
AUSTRALIA 0% 08.05.2026,AUD,Commonwealth of Australia,AU2CLT080566,Sovereign,2026-08-05,NaN,0.000,NaN,4.209,99.965,5000,Australia,6500000000,5000,No,Yes,Yes,151.000,0.000
AUSTRALIA 1% 21.12.2030,AUD,Commonwealth of Australia,AU0000087454,Sovereign,2030-12-21,NaN,1.000,Semi-Annual,4.669,84.791,1000,Australia,45600000000,1000,No,Yes,No,136.000,0.374
AUSTRALIA 0% 12.06.2026,AUD,Commonwealth of Australia,AU2CLT120669,Sovereign,2026-12-06,NaN,0.000,NaN,4.299,99.552,5000,Australia,7000000000,5000,No,Yes,Yes,102.000,0.000
AUSTRALIA 0% 11.09.2026,AUD,Commonwealth of Australia,AU2CLT110967,Sovereign,2026-11-09,NaN,0.000,NaN,4.439,98.455,5000,Australia,3000000000,5000,No,Yes,Yes,7.000,0.000
AUSTRALIA 0% 10.07.2026,AUD,Commonwealth of Australia,AU2CLT100760,Sovereign,2026-10-07,NaN,0.000,NaN,4.359,99.214,5000,Australia,5000000000,5000,No,Yes,Yes,53.000,0.000
AUSTRALIA 1.5% 21.06.2031,AUD,Commonwealth of Australia,AU0000047003,Sovereign,2031-06-21,NaN,1.500,Semi-Annual,4.692,85.480,1000,Australia,46000000000,1000,No,Yes,No,136.000,0.560
AUSTRALIA 3% 21.11.2033,AUD,Commonwealth of Australia,AU0000217101,Sovereign,2033-11-21,NaN,3.000,Semi-Annual,4.847,88.256,1000,Australia,28200000000,1000,No,Yes,No,166.000,1.376
AUSTRALIA 4.25% 21.12.2035,AUD,Commonwealth of Australia,AU0000345241,Sovereign,2035-12-21,NaN,4.250,Semi-Annual,4.957,94.397,1000,Australia,23900000000,1000,No,Yes,No,136.000,1.588
AUSTRALIA 0% 26.06.2026,AUD,Commonwealth of Australia,AU2CLT260663,Sovereign,2026-06-26,NaN,0.000,NaN,4.349,99.381,5000,Australia,6000000000,5000,No,Yes,Yes,81.000,0.000
AUSTRALIA 4.5% 21.04.2033,AUD,Commonwealth of Australia,AU000XCLWAG2,Sovereign,2033-04-21,NaN,4.500,Semi-Annual,4.805,98.080,1000,Australia,26700000000,1000,No,Yes,No,15.000,0.184
AUSTRALIA 4.25% 21.06.2034,AUD,Commonwealth of Australia,AU3TB0000200,Sovereign,2034-06-21,NaN,4.250,Semi-Annual,4.879,95.578,1000,Australia,10000000000,1000,No,Yes,No,136.000,1.588
AUSTRALIA 2.75% 21.11.2027,AUD,Commonwealth of Australia,AU000XCLWAQ1,Sovereign,2027-11-21,NaN,2.750,Semi-Annual,4.684,97.113,1000,Australia,36000000000,1000,No,Yes,No,166.000,1.261
AUSTRALIA 3.75% 21.05.2034,AUD,Commonwealth of Australia,AU0000249302,Sovereign,2034-05-21,NaN,3.750,Semi-Annual,4.884,92.318,1000,Australia,25000000000,1000,No,Yes,Yes,166.000,1.720
AUSTRALIA 4.75% 21.04.2027,AUD,Commonwealth of Australia,AU3TB0000135,Sovereign,2027-04-21,NaN,4.750,Semi-Annual,4.678,100.065,1000,Australia,39399548000,1000,No,Yes,No,15.000,0.195
