index,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,run_id,exported_at
risk_loading,0.11957469029675184,0.0905827602905195,0.011048077498284672,0.28778327031733936,7993.315504901363,3851.6738553205864,1.0010578652123017,0.0007995537541607142,0.0006780152615750851,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
size_loading,0.20071485367748712,0.15132395525982478,0.017870028134908844,0.488657603783492,7782.415409792007,4049.378953956005,1.0001151190394126,0.0013475439497873467,0.001090419027877725,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
volume_loading,0.07925460222294615,0.059756752456882424,0.006895781839681404,0.18919643117610854,7597.4328002545435,4133.326906608697,1.0005581292418337,0.0005401621240372293,0.00044480064356319717,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_trading_region,0.1565032968589519,0.00782544251646276,0.14375712024422652,0.16911973916648868,7849.791635012961,6492.446620239858,1.0007967334147712,8.826890954125091e-05,5.997037206607324e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_sector,0.06230899184749758,0.005156747894786023,0.054079530681461124,0.07048856851429196,12757.05722465531,7027.538578588454,1.0001001197873356,4.566950065710847e-05,3.297860123567057e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_style_class,0.009147125638834283,0.004287517858547175,0.002865816568310727,0.016550989978908828,7719.109967376293,6546.609116125712,1.0003060211228942,4.9744047312460004e-05,3.6963543381882674e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_size_class,0.020993930608266247,0.005682871647238043,0.011815877738228122,0.030199193510468673,8137.437403174453,6848.021749749598,1.0002051781831454,6.298514005014217e-05,4.395877398395785e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_total,0.5574469638366311,0.013970124417530063,0.5356074058117589,0.5801829956521992,1557.6853648141528,2475.4587163061133,1.002325816123342,0.0003539855263711194,0.00025432807477519657,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
rho_inf_by_bucket[q1],0.0034638839564302775,0.00238199676245164,0.000634144087131281,0.007856329129965594,12540.538424778388,5335.168660275678,1.0000227909154633,1.9431107635872404e-05,1.9860275590081927e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
variance_weights[level],0.004448540014829585,0.0023735420963248415,0.0016290756031296393,0.008825071985788037,12540.368374089801,5335.168660275678,1.000021045262072,1.9360728628945198e-05,1.9788235682537818e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
variance_weights[state],0.9939738921453299,0.0024002723444814834,0.98956845744553,0.9968784813618655,12774.149658070126,5333.755469564483,1.0001635763428796,1.9742189264182514e-05,1.9892155722167652e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
variance_weights[observation],0.0015775678398405582,0.00040729344211792916,0.0011039477374571948,0.002359953193466079,12972.220679298429,4909.980319861379,0.9997386186016064,3.2445440662592713e-06,3.3828108962785707e-06,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_level,0.03596286268638616,0.009451239518041988,0.022448120242970458,0.05245509162135754,11818.417636768943,5170.188062696552,1.0000626961059307,7.891996960482186e-05,5.723920656478124e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_state,0.5557647672271478,0.013958494951441924,0.5338498529871829,0.5784257894184418,1559.2167030174385,2489.804772548163,1.002341442910465,0.0003536152537700459,0.0002540604046154584,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_obs_base,0.02197196566686572,0.0027468342270840405,0.018439471477673674,0.027138585544316186,11516.609113138245,4794.187830768133,0.9999801876661447,2.316831656506906e-05,1.934826743558946e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
rho_inf_implied,0.00445555050610564,0.0023772318187094605,0.0016310628070415677,0.008839574036933369,12540.41803923821,5326.110841399089,1.0000266291368165,1.9392564255281737e-05,1.982092168925229e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
alpha_time[t0],-0.15289832709545714,0.008024991965130302,-0.16568258931092064,-0.14024454153762636,11388.554859857551,6394.281403961552,1.0010223115487116,7.516539613413205e-05,5.398931729747919e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
alpha_time[t1],0.0600809974515135,0.00624343296797724,0.050029897584557274,0.06989924197852804,12046.990080918182,6862.551726624818,0.9999358129662311,5.6915260971631125e-05,4.0053643229702586e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
alpha_time[t2],-0.03395727199714336,0.0021556732584319654,-0.03739310920229417,-0.030510549188062952,18023.309898603962,6190.4445213161825,1.0001013102486047,1.6052596003056873e-05,1.076572935966427e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
alpha_time[t3],0.0,0.0,0.0,0.0,8000.0,8000.0,,0.0,,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_time[t0],1.2284818821602308,0.016888427393686734,1.201255033886306,1.2556673820943045,6930.9890234260665,6776.2930415163655,1.0006932613462238,0.00020272853196874914,0.00014168815463759817,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_time[t1],1.09148458563678,0.013004231720794282,1.0708692050108617,1.1121219980548063,8406.711191935809,6886.609858764283,0.9998939288566485,0.00014179161307893975,9.920180558716517e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_time[t2],0.9905613584875801,0.0049047631447389686,0.9828332792987111,0.9983943722006147,14310.590444668589,6798.157332609736,0.9996941971053106,4.098217474548493e-05,2.917483995156684e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_time[t3],1.0,0.0,1.0,1.0,8000.0,8000.0,,0.0,,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t0, t0]",1.5094529537757748,0.04150490297758385,1.443013656443795,1.5767005744567608,6930.9890234260665,6776.2930415163655,1.0006998028297687,0.0004979412778552517,0.00034898891270551967,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t0, t1]",0.05806664077275953,0.004261948519114859,0.05158999267649693,0.06515257926363813,13591.218666265824,6804.1126265123985,0.9998425654626522,3.630442057999685e-05,2.7653206352466843e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t0, t2]",0.022938521842996946,0.003029361224309373,0.01884687486593373,0.028232484222167776,12923.053760790512,6390.427819560039,0.9998379892759315,2.5965056550815784e-05,2.3778547525113947e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t0, t3]",0.021752391942895348,0.0030208586470987816,0.017698208129928398,0.02705357171589448,12773.315557998962,6324.942860156653,0.9999028004309249,2.5964784805117314e-05,2.4027803177202422e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t1, t0]",0.05806664077275953,0.004261948519114859,0.05158999267649693,0.06515257926363813,13591.218666265824,6804.1126265123985,0.9998425654626522,3.630442057999685e-05,2.7653206352466843e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t1, t1]",1.1915077107253416,0.028401533041349195,1.1467608542405991,1.2368153385688303,8406.711191935809,6886.609858764283,0.9998924093028647,0.00030969697314181326,0.00021769879159945602,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t1, t2]",0.4024157381769214,0.009401937070739082,0.3874460067105961,0.4174933492325869,16283.35310012042,6828.060049031224,1.00120188677049,7.356043351029576e-05,5.284846356847959e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t1, t3]",0.3743332538554272,0.008846959915094264,0.3604462384455501,0.3884379387170225,15727.502807641937,7046.798996837548,1.0010985099730145,7.040814754118899e-05,5.0813701003780654e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t2, t0]",0.022938521842996946,0.003029361224309373,0.01884687486593373,0.028232484222167776,12923.053760790512,6390.427819560039,0.9998379892759315,2.5965056550815784e-05,2.3778547525113947e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t2, t1]",0.4024157381769214,0.009401937070739082,0.3874460067105961,0.4174933492325869,16283.35310012042,6828.060049031224,1.00120188677049,7.356043351029576e-05,5.284846356847959e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t2, t2]",0.9812358616302661,0.009717944882269168,0.9659612548991333,0.9967913224421214,14310.590444668589,6798.157332609736,0.9996941971053106,8.118386454429191e-05,5.784454940842512e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t2, t3]",0.910691828000357,0.004888696934034398,0.9029772114573684,0.9184774325144867,15667.743658311892,6422.646588052073,0.9996676411247665,3.907512809891194e-05,2.770206924260818e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t3, t0]",0.021752391942895348,0.0030208586470987816,0.017698208129928398,0.02705357171589448,12773.315557998962,6324.942860156653,0.9999028004309249,2.5964784805117314e-05,2.4027803177202422e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t3, t1]",0.3743332538554272,0.008846959915094264,0.3604462384455501,0.3884379387170225,15727.502807641937,7046.798996837548,1.0010985099730145,7.040814754118899e-05,5.0813701003780654e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t3, t2]",0.910691828000357,0.004888696934034398,0.9029772114573684,0.9184774325144867,15667.743658311892,6422.646588052073,0.9996676411247665,3.907512809891194e-05,2.770206924260818e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
"within_name_cov[t3, t3]",1.0,1.2262185882549665e-16,0.9999999999999999,1.0000000000000002,8191.870633247708,7930.347675391892,1.0000625264311143,1.3710397519684423e-18,9.330781277105942e-19,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
nu,9.784797411815964,0.4656064204486621,9.06629216765664,10.544677977049457,16565.547240861793,6876.085361061571,1.0001562651035567,0.0036273520161409735,0.002633493857147624,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
